doctor_name,doctor_type,experience_years,location,hospital,fees,city
Dr. Kumar Raushan,General Surgeon,18,"Pimpri-Chinchwad , Pune",Aditya Birla Memorial Hospital,800.0,Pune
Dr. Rizwan Malik,General Physician,15,"Bhosari , Pune",Medicover Hospital,500.0,Pune
Dr. Avinash Eknath Mundhe,General Physician,16,"Pimpri-Chinchwad , Pune",Aditya Birla Memorial Hospital,800.0,Pune
Dr. Kundan Kharde,General Surgeon,19,"Pimple Nilakh , Pune",Sharvari Hospital,1000.0,Pune
Dr. Vidita Powle,General Surgeon,16,"Pimpri-Chinchwad , Pune",Aditya Birla Memorial Hospital,1000.0,Pune
Dr. Harshal Rajekar,General Surgeon,26,"Bhosari , Pune",Medicover Hospital,800.0,Pune
Dr. Vrishali Patil,General Surgeon,26,"Pimpri-Chinchwad , Pune",Dr P.D Patil Super Speciality Hospital and Research Centre,1000.0,Pune
Dr. Pushkar Galam,Laparoscopic Surgeon,15,"Pimpri-Chinchwad , Pune",Dr P.D Patil Super Speciality Hospital and Research Centre,500.0,Pune
Dr. Rameshwar Hudekar,General Physician,20,"Wakad , Pune",Sunmed Hospital,700.0,Pune
Dr. Shrikant Ghanwat,General Surgeon,15,"Bhosari , Pune",Medicover Hospital,800.0,Pune
Dr. Sangar Deepali Dilip,General Surgeon,28,"Pimpri-Chinchwad , Pune",Aditya Birla Memorial Hospital,1000.0,Pune
Dr. Shilpy Dolas,General Surgeon,20,"Wanowrie , Pune",Ruby Hall Clinic,1200.0,Pune
Dr. Kedar Pratap Patil,Bariatric Surgeon,21,"Wanowrie , Pune",Ruby Hall Clinic,1100.0,Pune
Dr. Dinesh Jain Bhermal,General Surgeon,36,"Wanowrie , Pune",Ruby Hall Clinic,900.0,Pune
Dr. Umesh Paprunia,General Surgeon,33,"Hadapsar , Pune",Noble Hospital,850.0,Pune
Dr. Harshvardhan Chaukulkar,Laparoscopic Surgeon,18,"Wanowrie , Pune",Ruby Hall Clinic,800.0,Pune
Dr. Vinayak V Kshirsagar,General Surgeon,25,"Pimpri-Chinchwad , Pune",Dr P.D Patil Super Speciality Hospital and Research Centre,500.0,Pune
Dr. Abhijit B Gotkhinde,Laparoscopic Surgeon,20,"Hadapsar , Pune",Noble Hospital,650.0,Pune
Dr. Amit Shivajirao Patil,General Surgeon,24,"Pimple Nilakh , Pune",Sharvari Hospital,1000.0,Pune
Dr. Salunkhe Sanjay Dattatraya,General Surgeon,44,"Wanowrie , Pune",Ruby Hall Clinic,900.0,Pune
Dr. Harish Keswani,Orthopedist,40,"Wanowrie , Pune",Ruby Hall Clinic,900.0,Pune
Dr. Lata Patil,General Physician,37,"Wanowrie , Pune",Ruby Hall Clinic,800.0,Pune
Dr. Pramod Jagtap,General Physician,36,"Wanowrie , Pune",Ruby Hall Clinic,800.0,Pune
Dr. Abhishek Ghosh,General Surgeon,26,"Wanowrie , Pune",Ruby Hall Clinic,900.0,Pune
Dr. Chandiwal Minish Mahendra,General Physician,35,"Wanowrie , Pune",Ruby Hall Clinic,900.0,Pune
Dr. Dikshit Bharat Ashok,General Surgeon,31,"Wanowrie , Pune",Ruby Hall Clinic,700.0,Pune
Dr. Bhoyar Ruchita Wamdeo,General Surgeon,15,"Wanowrie , Pune",Ruby Hall Clinic,900.0,Pune
Dr. Pandurang Sawant,Pediatrician,17,"Dhanori , Pune",Dr. Sawant's Clinic - Mother & Child Care,700.0,Pune
Dr. Ashok Bansode,Pulmonologist,22,"Hadapsar , Pune",Pune Health Clinic,800.0,Pune
Dr. Pradeep Jadhav,General Surgeon,21,"Hadapsar , Pune",Resolute Care,700.0,Pune
Dr. Ajay Vane,Gastroenterologist,14,"Pimpri-Chinchwad , Pune",Dr P.D Patil Super Speciality Hospital and Research Centre,1000.0,Pune
Dr. Avishkar Barase,General Surgeon,20,"Wakad , Pune",Sunmed Hospital,800.0,Pune
Dr. Smita Parakh,General Surgeon,14,"Hadapsar , Pune",Noble Hospital,800.0,Pune
