doctor_name,doctor_type,experience_years,location,hospital,fees,city
Dr. Anil Agadi,General Surgeon,33,"Wilson Garden , Bangalore",SRV Agadi Hospital,600.0,Bangalore
Dr. Rajasekhar,General Surgeon,46,"BTM Layout 2nd Stage , Bangalore",Chirag Global Hospital,3000.0,Bangalore
Dr. Eashwernath P S,General Physician,42,"HSR Layout , Bangalore",Greenview Medical Center,1500.0,Bangalore
Dr. Tulip Chamany,General Surgeon,35,"Arekere , Bangalore",Camry Hospitals,600.0,Bangalore
Dr. Shabeer Ahmed,Laparoscopic Surgeon,40,"Sivanchetti Gardens , Bangalore",Q Medical Centre and Hospital,650.0,Bangalore
Dr. Arun Kumar,General Surgeon,36,"HSR Layout , Bangalore",Greenview Medical Center,1500.0,Bangalore
Dr. Aditya S Chowti,General Physician,18,"Kalyan Nagar , Bangalore",Trilife Hospital,1200.0,Bangalore
Dr. Raghavendra R,Pain Management Specialist,26,"Hebbal , Bangalore",Aster CMI Hospital,1200.0,Bangalore
Dr. Ravishankar Reddy C R,General Physician,33,"Koramangala 1 Block , Bangalore",Marvel Multispeciality Hospital,1000.0,Bangalore
Dr. Ranga Naik,General Physician,49,"Koramangala 1 Block , Bangalore",Marvel Multispeciality Hospital,1000.0,Bangalore
Dr. Roopa Bhushan,GastroIntestinal Surgeon,25,"Sampangiramnagar , Bangalore",Trustwell Hospitals,800.0,Bangalore
Dr. Bhaskar Pai.K,General Surgeon,40,"Seshadripuram , Bangalore",Apollo Hospitals,800.0,Bangalore
Dr. Devika G,General Physician,15,"Magrath Road , Bangalore",HOSMAT Hospital,700.0,Bangalore
Dr. Aparna Verma,General Physician,25,"HSR Layout , Bangalore",Greenview Medical Center,1000.0,Bangalore
Dr. Ramesh Makam,General Surgeon,37,"Basavanagudi , Bangalore",A V Hospital,1000.0,Bangalore
Dr. Vamsi Krishna M,General Surgeon,28,"Whitefield , Bangalore",Medicover Hospitals - Bangalore,600.0,Bangalore
Dr. Abdul Razack.G.S,Laparoscopic Surgeon,24,"Koramangala 1 Block , Bangalore",Marvel Multispeciality Hospital,1000.0,Bangalore
Dr. Vinay Bhat,GastroIntestinal Surgeon,21,"Hebbal , Bangalore",Aster CMI Hospital,1200.0,Bangalore
Dr. Shiva Kumar,General Surgeon,25,"Bommanahalli , Bangalore",Curemaxx Hospitals,750.0,Bangalore
Dr. Wasim M Dar,General Surgeon,19,"Sivanchetti Gardens , Bangalore",Q Medical Centre and Hospital,600.0,Bangalore
Dr. Mahesha C,General Surgeon,30,"Hebbal , Bangalore",Aster CMI Hospital,1200.0,Bangalore
Dr. M Sri Sai Prasad,General Physician,30,"Belathur , Bangalore",Aaxis Hospitals,650.0,Bangalore
Dr. Suhas S,Plastic Surgeon,16,"Wilson Garden , Bangalore",SRV Agadi Hospital,800.0,Bangalore
Dr. K S Harshith,Internal Medicine,25,"JP Nagar , Bangalore",Aster RV Hospital,1150.0,Bangalore
Dr. Vijay C R Reddy,General Surgeon,31,"Bellandur , Bangalore",Nelivigi Multispeciality and Urology Hospital,800.0,Bangalore
Dr. Sudhindra,General Physician,30,"BTM Layout , Bangalore",Marigold Hospital,700.0,Bangalore
Dr. D Sandeep,General Surgeon,16,"Kasturi nagar , Bangalore",Columbiaa Hospital,650.0,Bangalore
Dr. Basanth Kumar.S,General Physician,23,"Kalyan Nagar , Bangalore",Trilife Hospital,1000.0,Bangalore
Dr. Poovamma,General Surgeon,21,"Hebbal , Bangalore",Aster CMI Hospital,1200.0,Bangalore
Dr. Mohammed Farooq Khateeb,Laparoscopic Surgeon,23,"Hebbal , Bangalore",Aster CMI Hospital,1200.0,Bangalore
Dr. Ramraj V N,Laparoscopic Surgeon,21,"Hebbal , Bangalore",Aster CMI Hospital,1200.0,Bangalore
Dr. Abhilasha Narayan,Gynecologist/Obstetrician,18,"Sampangiramnagar , Bangalore",HCG  - The Specialist in Cancer Care,1360.0,Bangalore
Dr. Raja Selvarajan,General Physician,20,"Whitefield , Bangalore",Medicover Hospitals - Bangalore,600.0,Bangalore
Dr. Vivekanand N Bhat,General Surgeon,34,"Madhava Nagar , Bangalore",Even Hospitals,300.0,Bangalore
Dr. Venur Ajith Kumar,General Physician,50,"Arekere , Bangalore",Camry Hospitals,800.0,Bangalore
Dr. Marina Thomas,General Surgeon,18,"Electronics City , Bangalore",Kauvery Hospitals,1000.0,Bangalore
Dr. Prabhakar B,General Surgeon,24,"Whitefield , Bangalore",Aster Whitefield Hospital,800.0,Bangalore
Dr. S S Kumar,Internal Medicine,52,"Seshadripuram , Bangalore",Apollo Hospitals,800.0,Bangalore
Dr. Raghu B M,Gastroenterologist,20,"Yelahanka , Bangalore",K K Hospital,1000.0,Bangalore
Dr. Deviprasad Hegde,General Physician,31,"Electronics City , Bangalore",Kauvery Hospitals,1000.0,Bangalore
Dr. Ravindra Padmakar Deo,General Surgeon,47,"Hebbal , Bangalore",Aster CMI Hospital,1200.0,Bangalore
Dr. Suhel Pasha,General Physician,25,"HSR Layout , Bangalore",Greenview Medical Center,1000.0,Bangalore
Dr. Munireddy M V,General Surgeon,21,"Koramangala 1 Block , Bangalore",Marvel Multispeciality Hospital,1000.0,Bangalore
Dr. Nithin Prakash,General Physician,23,"HBR Layout , Bangalore",Altius Hospitals,700.0,Bangalore
Dr. Prabhu N Nesargikar,General Surgeon,25,"Sampangiramnagar , Bangalore",HCG  - The Specialist in Cancer Care,1360.0,Bangalore
Dr. Sumayya Tasneem,General Physician,17,"Kasturi nagar , Bangalore",Columbiaa Hospital,650.0,Bangalore
Dr. Sonal Asthana,General Surgeon,32,"Hebbal , Bangalore",Aster CMI Hospital,1200.0,Bangalore
Dr. Chandan Juneja,General Surgeon,38,"Wilson Garden , Bangalore",SRV Agadi Hospital,800.0,Bangalore
Dr. Chethan K,General Surgeon,27,"HBR Layout , Bangalore",Altius Hospitals,700.0,Bangalore
Dr. Srinivas Rao,General Surgeon,30,"Belathur , Bangalore",Aaxis Hospitals,1000.0,Bangalore
Dr. Vipender Sabherwal,General Surgeon,28,"Kilokri , Delhi",Jeewan Hospital Gate No. 1,700.0,Delhi
Dr. Rajeev Gupta,Internal Medicine,34,"Model Town , Delhi",Yatharth Super Speciality Hospital,1500.0,Delhi
Dr. Vivek Mittal,Cardiologist,29,"Preet Vihar , Delhi",Metro Hospital and Cancer Institute,1500.0,Delhi
Dr. Kumar Manish,Bariatric Surgeon,32,"Saket , Delhi",Sawan Neelu Angels Nursing Home,1000.0,Delhi
Dr. Sanjeev Kumar Gupta,Laparoscopic Surgeon,29,"Greater Kailash Part 1 , Delhi",SCI International Hospital,800.0,Delhi
Dr. Vijay Hangloo,Laparoscopic Surgeon,36,"Saket , Delhi",Sawan Neelu Angels Nursing Home,1000.0,Delhi
Dr. R S Gandhi,General Surgeon,37,"Kirti Nagar , Delhi",Kalra  Hospitals,1000.0,Delhi
Dr. Siddarth Sain,Ophthalmologist,21,"South Extension 2 , Delhi",Agarwal Eye Hospital,800.0,Delhi
Dr. Rakesh Sharma,General Physician,38,"Karol Bagh , Delhi",Jeewan Mala Hospital,1000.0,Delhi
Dr. S.K. Tyagi,Internal Medicine,43,"Tilak Nagar , Delhi",Tyagi Nursing Home,1500.0,Delhi
Dr. Ajit Kumar Talukdar,Internal Medicine,41,"Kilokri , Delhi",Jeewan Hospital Gate No. 1,700.0,Delhi
Dr. Vinay Sabharwal,General Surgeon,50,"Karol Bagh , Delhi",Jeewan Mala Hospital,1000.0,Delhi
Dr. Sachin Ambekar,Laparoscopic Surgeon,24,"Nehru Place , Delhi",MASSH-Minimal Access Smart Surgery Hospital,1200.0,Delhi
Dr. Mohit Jain,General Surgeon,26,"Sagarpur , Delhi",Ansari Hospital,500.0,Delhi
Dr. S K Bakshi,General Physician,44,"Safdarjung Enclave , Delhi",Aashlok Hospital,1500.0,Delhi
Dr. Himanshu Shekhar,General Physician,20,"Greater Kailash Part 1 , Delhi",SCI International Hospital,1000.0,Delhi
Dr. Raman Sharma,General Surgeon,19,"Pusa Road , Delhi",Sir Ganga Ram City Hospital,1200.0,Delhi
Dr. Shiv Chopra,General Surgeon,35,"Chattarpur , Delhi",Cronus Multispeciality Hospital,1000.0,Delhi
Dr. Vipin Kumar Grover,General Surgeon,41,"GTB Nagar , Delhi",Nulife Hospital & Maternity Centre,600.0,Delhi
Dr. Vidyasagar Chaturvedi,General Surgeon,16,"Kailash Colony , Delhi",SSB Multispeciality Hospital,1000.0,Delhi
Dr. Avinder Sabharwal,Laparoscopic Surgeon,28,"Maharani Bagh , Delhi",Jeewan hospital gate no 2,800.0,Delhi
Dr. Piyush Sharma,General Surgeon,16,"Safdarjung Enclave , Delhi",Aashlok Hospital,1200.0,Delhi
Dr. Uday Nath Shahi,General Physician,31,"Gulabi Bagh , Delhi",NKS Super Speciality Hospital,350.0,Delhi
Dr. Ashok Kumar Kaushik,General Physician,57,"Naraina Vihar , Delhi",Kapoor Medical Centre,1400.0,Delhi
Dr. Chetan Kumar Gupta,General Physician,27,"Chattarpur , Delhi",Cronus Multispeciality Hospital,800.0,Delhi
Dr. Sandeep Jain,General Surgeon,27,"Karkardooma , Delhi",Garg Hospital,800.0,Delhi
Dr. Chandan Bhattacharya,General Physician,37,"Jasola , Delhi",ORL International Hospital,1000.0,Delhi
Dr. Sunil Garg,General Surgeon,48,"Siri Fort Road , Delhi",Sama Hospital,1200.0,Delhi
Dr. Sushil Kumar,General Surgeon,35,"Chattarpur , Delhi",Cronus Multispeciality Hospital,1000.0,Delhi
Dr. Shailender Kumar Jain,General Surgeon,31,"Janakpuri , Delhi",Healing Hands PG Gynaecology & Urology Center,1000.0,Delhi
Dr. Pankaj Kumar,General Physician,23,"Karol Bagh , Delhi",Jeewan Mala Hospital,1000.0,Delhi
Dr. Vishal Garg,General Physician,19,"Karol Bagh , Delhi",Jeewan Mala Hospital,1000.0,Delhi
Dr. Seema Pandey,General Physician,30,"Uttam Nagar , Delhi",Chandraleela Hospital,600.0,Delhi
Dr. P K Bansal,General Physician,53,"Nehru Place , Delhi",MASSH-Minimal Access Smart Surgery Hospital,1500.0,Delhi
Dr. Aditya Sharda,General Physician,50,"Chokhandi , Delhi",Park Hospital,800.0,Delhi
Dr. Anuj Kumar Kundalia,General Surgeon,29,"Karkardooma , Delhi",Garg Hospital,400.0,Delhi
Dr. Pushpinder Singh,Spine And Pain Specialist,27,"Punjabi Bagh , Delhi",MGS Super Speciality Hospital,1000.0,Delhi
Dr. Nagendra Kumar Kulkarni,General Surgeon,31,"Chokhandi , Delhi",Park Hospital,800.0,Delhi
Dr. Sanjiv Kumar Chopra,General Surgeon,37,"Model Town , Delhi",Yatharth Super Speciality Hospital,1500.0,Delhi
Dr. Dileep Makhija,General Surgeon,50,"Safdarjung Enclave , Delhi",The Neptune Hospital,1500.0,Delhi
Dr. Ratnesh Mahajan,General Surgeon,15,"GTB Nagar , Delhi",Nulife Hospital & Maternity Centre,800.0,Delhi
Dr. Rajendra Kumar Maskara,General Surgeon,29,"Jasola , Delhi",ORL International Hospital,1000.0,Delhi
Dr. Rahul Gupta,General Surgeon,19,"Yamuna Vihar , Delhi",Dr. Aggarwal’s Wellness Multispeciality Hospital,800.0,Delhi
Dr. Arjun Rastogi,General Physician,50,"Safdarjung Enclave , Delhi",The Neptune Hospital,1500.0,Delhi
Dr. Rita Kapoor,General Physician,39,"Naraina Vihar , Delhi",Kapoor Medical Centre,1000.0,Delhi
Dr. Subroto Kumar Datta,Cardiologist,43,"Dwarka Sector 6 , Delhi",Manipal Hospital,1500.0,Delhi
Dr. Shamshad Ali,Internal Medicine,23,"Sagarpur , Delhi",Ansari Hospital,500.0,Delhi
Dr. Kamleshwar Prasad Sinha,General Physician,30,"Maharani Bagh , Delhi",Jeewan hospital gate no 2,800.0,Delhi
Dr. Sandeep Aggarwal,General Surgeon,35,"Dwarka Sector 6 , Delhi",Manipal Hospital,1500.0,Delhi
Dr. Davinder Singh Kumar,General Physician,37,"Kailash Colony , Delhi",SSB Multispeciality Hospital,1500.0,Delhi
Dr. Shashank Shah,General Surgeon,37,"Bandra West , Mumbai",Lilavati Hospital and Research Centre,3300.0,Mumbai
Dr. Suresh Rao,General Surgeon,48,"Andheri East , Mumbai",Sanjeevani Mamta Hospital & Research Centre,1000.0,Mumbai
Dr. Ajay garg,General Physician,46,"Malad West , Mumbai",Garg Multispeciality Hospital,1500.0,Mumbai
Dr. Nilesh Sureshchandra Chordiya,General Surgeon,26,"Chembur , Mumbai",SSO Cancer Clinic,2000.0,Mumbai
Dr. Vicky Jain,Plastic Surgeon,20,"Chembur , Mumbai",Surana Sethia Hospital and Research Center,2000.0,Mumbai
Dr. Aditya Manke,General Surgeon,18,"Borivali West , Mumbai",Apex Superspeciality Hospitals,1500.0,Mumbai
Dr. Kamran Khan,General Surgeon,35,"Ghatkopar West , Mumbai",Specialty Surgical Oncology Hospital and Research,4000.0,Mumbai
Dr. Aditi Agrawal,General Surgeon,21,"Borivali West , Mumbai",Apex Superspeciality Hospitals,2000.0,Mumbai
Dr. Salaah Qureshi,General Physician,23,"Jogeshwari West , Mumbai",Bluebell Hospital,1500.0,Mumbai
Dr. Kunal Chandrakant,General Surgeon,19,"Borivali West , Mumbai",Xenon Multi-speciality Hospital,1000.0,Mumbai
Dr. Nikhil Gawde,Laparoscopic Surgeon,17,"Chembur , Mumbai",Surana Sethia Hospital and Research Center,1000.0,Mumbai
Dr. Manish Arora,Anesthesiologist,28,"Bhandup West , Mumbai",Sudhanshu Hospital & ICCU,2000.0,Mumbai
Dr. Satish Rao,General Surgeon,33,"Bandra West , Mumbai",Lilavati Hospital and Research Centre,3300.0,Mumbai
Dr. Abhay Agrawal,Bariatric Surgeon,31,"Borivali West , Mumbai",Apex Superspeciality Hospitals,2000.0,Mumbai
Dr. Harish Kumar,General Surgeon,42,"Bhandup West , Mumbai",Sudhanshu Hospital & ICCU,2000.0,Mumbai
Dr. Gautam Nadkarni,General Surgeon,29,"Chembur , Mumbai",Surana Sethia Hospital and Research Center,1000.0,Mumbai
Dr. Manali Parmar,Gynecologist/Obstetrician,26,"Mulund West , Mumbai",Elite Women and Child Care Hospital,1800.0,Mumbai
Dr. Uday Pawar,General Surgeon,25,"Malad East , Mumbai",Mauli Aarogyam Multi Speciality Hospital,2000.0,Mumbai
Dr. Balbirsingh Kohli,General Physician,31,"Mulund West , Mumbai",Apex Hospitals,1500.0,Mumbai
Dr. Vinaykumar Thati,General Surgeon,25,"Bandra West , Mumbai",Lilavati Hospital and Research Centre,2200.0,Mumbai
Dr. Brijesh Dube,Laparoscopic Surgeon,28,"Andheri West , Mumbai",Thunga STH Hospital,1000.0,Mumbai
Dr. Mrinalini Singh,Internal Medicine,15,"Mulund West , Mumbai",Elite Women and Child Care Hospital,1800.0,Mumbai
Dr. Pankaj Gandhi,General Surgeon,30,"Goregaon West , Mumbai",Suvidha Hospital & Polyclinic,1200.0,Mumbai
Dr. Kaustubh Durve,General Physician,19,"Mulund West , Mumbai",Platinum Hospital,2000.0,Mumbai
Dr. Bhavisha Ghughare,General Surgeon,27,"Borivali West , Mumbai",HCG Cancer Centre,2500.0,Mumbai
Dr. Mehul Manilal Dhanoria,General Surgeon,20,"Andheri East , Mumbai",Sanjeevani Mamta Hospital & Research Centre,1000.0,Mumbai
Dr. Sharmin Zaheer Dossa,General Surgeon,21,"Andheri West , Mumbai",Nakshatra Multispeciality Hospital,1500.0,Mumbai
Dr. Milind Deole,General Physician,30,"Malad East , Mumbai",Mauli Aarogyam Multi Speciality Hospital,1200.0,Mumbai
Dr. Bharatbhushan Podwal,General Surgeon,44,"Borivali West , Mumbai",Apex Superspeciality Hospitals,1500.0,Mumbai
Dr. Kamal Shukla,General Surgeon,23,"Malad West , Mumbai",Garg Multispeciality Hospital,1200.0,Mumbai
Dr. Vishal Yadav,General Surgeon,17,"Malad East , Mumbai",Mauli Aarogyam Multi Speciality Hospital,1200.0,Mumbai
Dr. Simit Vora,General Surgeon,20,"Jogeshwari West , Mumbai",Mallika Hospital,1500.0,Mumbai
Dr. Rai Sunil Raghunath,General Surgeon,39,"Malad East , Mumbai",Mauli Aarogyam Multi Speciality Hospital,1500.0,Mumbai
Dr. Pranav Rajnikant Shah,Anesthesiologist,18,"Andheri West , Mumbai",Thunga STH Hospital,600.0,Mumbai
Dr. Sai Prasad Donga,General Surgeon,33,"Bhandup West , Mumbai",Sudhanshu Hospital & ICCU,2000.0,Mumbai
Dr. Madhava Karanth,General Physician,38,"Bhandup West , Mumbai",Sudhanshu Hospital & ICCU,2500.0,Mumbai
Dr. Ganvir Amit,General Physician,16,"Borivali West , Mumbai",Xenon Multi-speciality Hospital,1000.0,Mumbai
Dr. Amol Suresh Patil,General Surgeon,25,"Borivali West , Mumbai",Aum Superspeciality Hospital,1500.0,Mumbai
Dr. Anupam Shukla,General Surgeon,17,"Andheri West , Mumbai",Thunga STH Hospital,2000.0,Mumbai
Dr. Aditya Shekhar Phadke,General Surgeon,16,"Mulund West , Mumbai",Apex Hospitals,1200.0,Mumbai
Dr. Srikanth Atluri,Urologist,17,"Andheri East , Mumbai",SSO Cancer Hospitals,2000.0,Mumbai
Dr. Shrirang Yedvardkar,General Surgeon,17,"Mulund West , Mumbai",Apex Hospitals,1500.0,Mumbai
Dr. Dimple Patel,General Surgeon,15,"Kandivali , Mumbai",Apex Hospitals Kandivali,1500.0,Mumbai
Dr. Mhatre Amish Prakash,General Surgeon,28,"Dahisar East , Mumbai",A1 Superspeciality Healthcare,2500.0,Mumbai
Dr. Rajendra Badwe,General Surgeon,46,"Jogeshwari West , Mumbai",Mallika Hospital,2000.0,Mumbai
Dr. Kamwal Basant Sadilal,Internal Medicine,34,"Borivali West , Mumbai",HCG Cancer Centre,2500.0,Mumbai
Dr. Soni Vinne Siddharth,General Surgeon,25,"Mulund West , Mumbai",Elite Women and Child Care Hospital,1800.0,Mumbai
Dr. Manoj Aithal,Laparoscopic Surgeon,24,"Goregaon West , Mumbai",Suvidha Hospital & Polyclinic,1000.0,Mumbai
Dr. D B Bhosale,General Surgeon,41,"Chembur , Mumbai",Surana Sethia Hospital and Research Center,,Mumbai
Dr. Vishal Diddi,General Surgeon,20,"Jogeshwari West , Mumbai",Mallika Hospital,2000.0,Mumbai
Dr. Mitilesh Raut,General Physician,22,"Hitech City , Hyderabad",Medicover Hospitals - Hitech City,600.0,Hyderabad
Dr. Rehan Sabir Momin,Gastroentrology Surgeon,24,"Banjara Hills , Hyderabad",EPIC International Hospitals Private Limited,750.0,Hyderabad
Dr. Srujan Kumar Bellapu,General Surgeon,23,"Ameerpet , Hyderabad",Aster Prime Hospital,600.0,Hyderabad
Dr. Brahmananda Reddy C H,General Surgeon,27,"Madinaguda , Hyderabad",Archana Hospitals,700.0,Hyderabad
Dr. Anilkumar Namburi,General Physician,26,"Banjara Hills , Hyderabad",Virinchi Hospitals,600.0,Hyderabad
Dr. G V Praveen Kumar,Vascular Surgeon,24,"Banjara Hills , Hyderabad",Asian Vascular Hospital,1200.0,Hyderabad
Dr. Sanjeev Singh Yadav,General Surgeon,38,"Banjara Hills , Hyderabad",EPIC International Hospitals Private Limited,750.0,Hyderabad
Dr. A Suresh Chandra,GastroIntestinal Surgeon,27,"Banjara Hills , Hyderabad",Virinchi Hospitals,600.0,Hyderabad
Dr. Dhanalakshmi Inala,General Physician,24,"KPHB , Hyderabad",K K Reddy Hospital,800.0,Hyderabad
Dr. V Ravi Kiran,General Physician,25,"Banjara Hills , Hyderabad",Renova - NIGL Hospitals,700.0,Hyderabad
Dr. Laxminadh Sivaraju,Neurosurgeon,22,"Attapur , Hyderabad",Germanten Hospitals,800.0,Hyderabad
Dr. Mithil B Ghushe,General Physician,23,"Hitech City , Hyderabad",Medicover Hospitals - Hitech City,600.0,Hyderabad
Dr. Salecha Priyank Ashokkumar,General Surgeon,16,"Madinaguda , Hyderabad",Archana Hospitals,600.0,Hyderabad
Dr. Hima Bindu N,General Surgeon,19,"Petbasheerabad , Hyderabad",Stork Hospitals,600.0,Hyderabad
Dr. P. Sharath Chandra Kaushik,General Surgeon,22,"Hitech City , Hyderabad",Medicover Hospitals - Hitech City,600.0,Hyderabad
Dr. Naveen Kumar Pothireddy,General Physician,17,"Hitech City , Hyderabad",Medicover Hospitals - Hitech City,600.0,Hyderabad
Dr. Shiva Ramakrishna Konda,General Practitioner,18,"Banjara Hills , Hyderabad",Virinchi Hospitals,600.0,Hyderabad
Dr. Rohith Kumar Nayak,Neurosurgeon,34,"Madinaguda , Hyderabad",Archana Hospitals,450.0,Hyderabad
Dr. Rama Priya Rengaswamy,General Physician,21,"Himayat Nagar , Hyderabad",Sathya Kidney Center,750.0,Hyderabad
Dr. Srinivas. P,Laparoscopic Surgeon,21,"KPHB , Hyderabad",Sree Manju Hospitals,500.0,Hyderabad
Dr. Abhilash N,General Surgeon,15,"Kondapur , Hyderabad",Dr. Abhilash's Laparoscopy & Laser Clinics,650.0,Hyderabad
Dr. N Abhilash,General Surgeon,15,"Kondapur , Hyderabad",Dr. Abhilash's Laparoscopy & Laser Clinics,650.0,Hyderabad
Dr. Vinay Kumar,Diabetologist,19,"Hitech City , Hyderabad",Medicover Hospitals - Hitech City,600.0,Hyderabad
Dr. Katta Venkateswara Rao,General Surgeon,23,"Madinaguda , Hyderabad",Archana Hospitals,500.0,Hyderabad
Dr. D Mahalakshmi,Endocrine Surgeon,16,"Kukatpally , Hyderabad",Amor Hospitals,1100.0,Hyderabad
Dr. K K Reddy Sadu,General Physician,25,"KPHB , Hyderabad",K K Reddy Hospital,800.0,Hyderabad
Dr. Kishan Nunsavata,General Physician,18,"Kothapet , Hyderabad",Ozone Hospitals,800.0,Hyderabad
Dr. T Vamshee,Pediatrician,19,"Hitech City , Hyderabad",Medicover Woman &  Child Hospitals - Hitech City,800.0,Hyderabad
Dr. Chetan B.Mahajan,General Surgeon,25,"Somajiguda , Hyderabad",The Deccan Hospital,700.0,Hyderabad
Dr. Ireni Raja Kiran Kumar Goud,Plastic Surgeon,28,"Kothapet , Hyderabad",Ozone Hospitals,800.0,Hyderabad
Dr. Channamsetty Sashidhar,,26,"Himayat Nagar , Hyderabad",Sathya Kidney Center,750.0,Hyderabad
Dr. Krishna Moorthy,Plastic Surgeon,20,"Madinaguda , Hyderabad",Archana Hospitals,500.0,Hyderabad
Dr. Gujar Basweshwar Shivanand,General Surgeon,23,"Nallakunta , Hyderabad",Seasons Hospital,500.0,Hyderabad
Dr. Pradeep Kumar Mishra,General Physician,26,"Secunderabad , Hyderabad",Medicover Hospitals,1000.0,Hyderabad
Dr. Pallam Praveen,General Surgeon,33,"Ecil , Hyderabad",Lifeline Multispeciality Hospital,1350.0,Hyderabad
Dr. Ajit Kumar Azad,General Physician,20,"KPHB , Hyderabad",Sree Manju Hospitals,700.0,Hyderabad
Dr. Vasantha Jella,General Physician,20,"Kothapet , Hyderabad",Ozone Hospitals,800.0,Hyderabad
Dr. Krishna Mohan K,General Surgeon,21,"Secunderabad , Hyderabad",Renova Hospitals,500.0,Hyderabad
Dr. M Sridhar,General Surgeon,25,"Kukatpally , Hyderabad",Prathima Hospitals,600.0,Hyderabad
Dr. Saritha K,Family Physician,18,"Moti Nagar , Hyderabad",Sree Manju Hospitals,600.0,Hyderabad
Dr. Y Krishna Mohan,General Surgeon,31,"Kukatpally , Hyderabad",Amor Hospitals,1300.0,Hyderabad
Dr. K. Gangadhar,General Surgeon,42,"Langar Houz , Hyderabad","Renova Hospital, Langar House",600.0,Hyderabad
Dr. K Arvinda Sagar,General Surgeon,16,"Sangareddy , Hyderabad",Sreshta Multi Speciality Hospital,800.0,Hyderabad
Dr. K Sravan Kumar,General Surgeon,16,"Sangareddy , Hyderabad",Sreshta Multi Speciality Hospital,800.0,Hyderabad
Dr. Chandramohan,General Physician,17,"Medchal , Hyderabad",SV Super Speciality Hospital,800.0,Hyderabad
Dr. Syed Imran Ahmed,General Physician,25,"Mehadipatnam , Hyderabad",Premier Hospital,500.0,Hyderabad
Dr. Satish Reddy Pullalrevu,General Surgeon,30,"Financial District , Hyderabad",Medicover Hospital,1000.0,Hyderabad
Dr. K Vamsi Mohan,General Physician,16,"Vanasthalipuram , Hyderabad",Pragma Hospitals,600.0,Hyderabad
Dr. Raghavendhar,General Physician,21,"Nallakunta , Hyderabad",Seasons Hospital,600.0,Hyderabad
Dr. A Gunasekaran,Neurologist,33,"Maduravoyal , Chennai",Neuro Life Hospital,600.0,Chennai
Dr. Balaji Ravilla Baskara,General Surgeon,27,"Purasawakkam , Chennai",Noble Hospital,250.0,Chennai
Dr. M.S.Kalyan Kumar,General Surgeon,18,"Kilpauk , Chennai",Kannapa Memorial Hospital,800.0,Chennai
Dr. P Sathish,Laparoscopic Surgeon,33,"Vadapalani , Chennai",Sooriya Hospital - Vadapalani,1000.0,Chennai
Dr. Jeysel Suraj,General Physician,25,"Medavakkam , Chennai",Suraj Hospital,300.0,Chennai
Dr. Rajkumar Rathinasamy,Gastroenterologist,26,"Medavakkam , Chennai",Suraj Hospital,800.0,Chennai
Dr. C P Sreekumar,General Surgeon,48,"Vadapalani , Chennai",Sooriya Hospital - Vadapalani,800.0,Chennai
Dr. Ananthasamy,General Surgeon,39,"Tambaram West , Chennai",Deepam Hospitals,800.0,Chennai
Dr. G Kumaragurubaran,Laparoscopic Surgeon,29,"Shenoy Nagar , Chennai",Billroth Hospitals,400.0,Chennai
Dr. C.Arunmozhi Varman,Laparoscopic Surgeon,18,"Chromepet , Chennai",Dr. Rela Institute & Medical Centre,800.0,Chennai
Dr. Praveen Kumar,General Surgeon,27,"Raja Annamalai Puram , Chennai",Billroth Hospital,1000.0,Chennai
Dr. Prabhu,General Surgeon,19,"Anna Nagar , Chennai",Hycare Hospitals,500.0,Chennai
Dr. Anisha Ashok,General Surgeon,20,"T Nagar , Chennai",Laser and Laparoscopic Hospital,800.0,Chennai
Dr. S R Subrammaniyan,Vascular Surgeon,42,"Shenoy Nagar , Chennai",Billroth Hospitals,1000.0,Chennai
Dr. Siva,General Surgeon,32,"Aminjikarai , Chennai",CFC Multispeciality Hospital,1000.0,Chennai
Dr. Chitra R,General Physician,26,"Aminjikarai , Chennai",CFC Multispeciality Hospital,1000.0,Chennai
Dr. Viswanathan Krishnaswamy,General Surgeon,27,"T Nagar , Chennai",Be Well Hospital,1500.0,Chennai
Dr. Hari Prasad,General Physician,21,"Kilpauk , Chennai",Kannapa Memorial Hospital,800.0,Chennai
Dr. A. Srinivasan,General Physician,40,"Purasawakkam , Chennai",Narayanaa Hospital,600.0,Chennai
Dr. B. Padam Kumar,General Surgeon,15,"Raja Annamalai Puram , Chennai",Billroth Hospital,700.0,Chennai
Dr. Sivaraman Gurunathan Mani,General Surgeon,26,"Ramapuram , Chennai",Srushti Fertility Centre & Women's Hospital,1000.0,Chennai
Dr. A R Balaji,General Surgeon,40,"Shenoy Nagar , Chennai",Billroth Hospitals,500.0,Chennai
Dr. Srikanth Muralikrishnan,General Physician,30,"Kilpauk , Chennai",Kannapa Memorial Hospital,800.0,Chennai
Dr. Rajkumar Janaviculam Sankaran,General Surgeon,40,"Kilpauk , Chennai",Lifeline Rigid Hospitals,1000.0,Chennai
Dr. Sivaraj S M,GastroIntestinal Surgeon,30,"Shenoy Nagar , Chennai",Billroth Hospitals,550.0,Chennai
Dr. Vinodh Duraisamy,General Surgeon,19,"Maduravoyal , Chennai",Neuro Life Hospital,600.0,Chennai
Dr. Sathyanarayan S A K V,General Physician,32,"Shenoy Nagar , Chennai",Billroth Hospitals,800.0,Chennai
Dr. Sabarisan Rangbashyam,General Surgeon,16,"Anna Nagar , Chennai",Be Well Hospitals,1500.0,Chennai
